from,duration,preserve,exclude,want
// 当日
2020-06-01,P1D,,,2020-06-02T00:00:00
2020-06-01T01:00:00,P1D,,,2020-06-03T00:00:00
// 2日間
2020-06-01,P2D,,,2020-06-03T00:00:00
// 月末/2日間
2020-06-30,P2D,,,2020-07-02T00:00:00
// 1ヶ月
2020-06-01,P1M,,,2020-07-01T00:00:00
2020-08-31,P1M,,,2020-10-01T00:00:00
2020-10-10,P1M,,,2020-11-10T00:00:00
2020-12-01,P1M,,,2021-01-01T00:00:00
2021-01-31,P1M,,,2021-03-01T00:00:00
2022-02-28,P1M,,,2022-03-28T00:00:00
2024-01-29,P1M,,,2024-02-29T00:00:00
2024-01-30,P1M,,,2024-03-01T00:00:00
2024-01-31,P1M,,,2024-03-01T00:00:00
2024-02-01,P1M,,,2024-03-01T00:00:00
2024-03-01,P1M,,,2024-04-01T00:00:00
// 1ヶ月 1日
2020-06-01,P1M1D,,,2020-07-02T00:00:00
2020-08-31,P1M1D,,,2020-10-02T00:00:00
2020-10-10,P1M1D,,,2020-11-11T00:00:00
2020-12-01,P1M1D,,,2021-01-02T00:00:00
2021-01-31,P1M1D,,,2021-03-02T00:00:00
2021-02-28,P1M1D,,,2021-03-29T00:00:00
2024-01-29,P1M1D,,,2024-03-01T00:00:00
2024-01-30,P1M1D,,,2024-03-02T00:00:00
2024-01-31,P1M1D,,,2024-03-02T00:00:00
2024-02-01,P1M1D,,,2024-03-02T00:00:00
2024-03-01,P1M1D,,,2024-04-02T00:00:00
// 3ヶ月
2020-06-01,P3M,,,2020-09-01T00:00:00
2020-08-31,P3M,,,2020-12-01T00:00:00
2020-10-10,P3M,,,2021-01-10T00:00:00
2020-12-01,P3M,,,2021-03-01T00:00:00
2021-01-31,P3M,,,2021-05-01T00:00:00
2021-02-28,P3M,,,2021-05-28T00:00:00
// 6ヶ月
2020-06-01,P6M,,,2020-12-01T00:00:00
2020-08-31,P6M,,,2021-03-01T00:00:00
2020-10-10,P6M,,,2021-04-10T00:00:00
2020-12-01,P6M,,,2021-06-01T00:00:00
2021-01-31,P6M,,,2021-07-31T00:00:00
2021-02-28,P6M,,,2021-08-28T00:00:00
// 1週間
2021-02-28,P1W,,,2021-03-07T00:00:00
// その他
2023-01-01,P2M,,,2023-03-01T00:00:00,// 143条2項 (平年)
2024-01-01,P2M,,,2024-03-01T00:00:00,// 143条2項 (閏年)
2024-01-20,P2M,,,2024-03-20T00:00:00,// 143条2項
2024-01-31,P2M,,,2024-03-31T00:00:00,// 143条2項
2023-01-31,P1M,,,2023-03-01T00:00:00,// 143条2項ただし書 (平年)
2024-01-31,P1M,,,2024-03-01T00:00:00,// 143条2項ただし書 (閏年)
2024-03-31,P1M,,,2024-05-01T00:00:00,// 143条2項ただし書
2024-03-31,P1M,,,2024-05-01T00:00:00,// 143条2項ただし書
2024-05-30T01:00:00,P1D,,,2024-06-01T00:00:00
2024-05-30T01:00:00,P1M,,,2024-07-01T00:00:00
2024-05-30T01:00:00,P1MT1H,,,2024-06-30T02:00:00
2023-01-29,P1M,,,2023-03-01T00:00:00
2020-02-28,P1Y,,,2021-02-28T00:00:00
2020-02-28T01:00:00,P1Y,,,2021-03-01T00:00:00
2020-08-15,P1Y3M,,,2021-11-15T00:00:00
2020-08-31,P1Y1M,,,2021-10-01T00:00:00
2024-06-01T18:00:00,PT30H,,,2024-06-03T00:00:00
2024-06-01,P2Y,,,2026-06-01T00:00:00
// preserveTimeOnZero=trueかつ、PT0Sの場合は、excludeStartDateの設定に関わらず、時刻維持されること
2024-03-29T03:00:00,PT0S,,,2024-03-30T00:00:00
2024-03-29T03:00:00,PT0S,true,,2024-03-29T03:00:00
2024-03-29T03:00:00,PT0S,false,,2024-03-30T00:00:00

// excludeStartDate: false
// 当日
2020-06-01,P1D,,false,2020-06-02T00:00:00
2020-06-01T01:00:00,P1D,,false,2020-06-02T00:00:00
// 2日間
2020-06-01,P2D,,false,2020-06-03T00:00:00
// 月末/2日間
2020-06-30,P2D,,false,2020-07-02T00:00:00
// 1ヶ月
2020-06-01,P1M,,false,2020-07-01T00:00:00
2020-08-31,P1M,,false,2020-10-01T00:00:00
2020-10-10,P1M,,false,2020-11-10T00:00:00
2020-12-01,P1M,,false,2021-01-01T00:00:00
2021-01-31,P1M,,false,2021-03-01T00:00:00
2022-02-28,P1M,,false,2022-03-28T00:00:00
2024-01-29,P1M,,false,2024-02-29T00:00:00
2024-01-30,P1M,,false,2024-03-01T00:00:00
2024-01-31,P1M,,false,2024-03-01T00:00:00
2024-02-01,P1M,,false,2024-03-01T00:00:00
2024-03-01,P1M,,false,2024-04-01T00:00:00
// 1ヶ月 1日
2020-06-01,P1M1D,,false,2020-07-02T00:00:00
2020-08-31,P1M1D,,false,2020-10-02T00:00:00
2020-10-10,P1M1D,,false,2020-11-11T00:00:00
2020-12-01,P1M1D,,false,2021-01-02T00:00:00
2021-01-31,P1M1D,,false,2021-03-02T00:00:00
2021-02-28,P1M1D,,false,2021-03-29T00:00:00
2024-01-29,P1M1D,,false,2024-03-01T00:00:00
2024-01-30,P1M1D,,false,2024-03-02T00:00:00
2024-01-31,P1M1D,,false,2024-03-02T00:00:00
2024-02-01,P1M1D,,false,2024-03-02T00:00:00
2024-03-01,P1M1D,,false,2024-04-02T00:00:00
// 3ヶ月
2020-06-01,P3M,,false,2020-09-01T00:00:00
2020-08-31,P3M,,false,2020-12-01T00:00:00
2020-10-10,P3M,,false,2021-01-10T00:00:00
2020-12-01,P3M,,false,2021-03-01T00:00:00
2021-01-31,P3M,,false,2021-05-01T00:00:00
2021-02-28,P3M,,false,2021-05-28T00:00:00
// 6ヶ月
2020-06-01,P6M,,false,2020-12-01T00:00:00
2020-08-31,P6M,,false,2021-03-01T00:00:00
2020-10-10,P6M,,false,2021-04-10T00:00:00
2020-12-01,P6M,,false,2021-06-01T00:00:00
2021-01-31,P6M,,false,2021-07-31T00:00:00
2021-02-28,P6M,,false,2021-08-28T00:00:00
// 1週間
2021-02-28,P1W,,false,2021-03-07T00:00:00
// その他
2023-01-01,P2M,,false,2023-03-01T00:00:00,// 143条2項 (平年)
2024-01-01,P2M,,false,2024-03-01T00:00:00,// 143条2項 (閏年)
2024-01-20,P2M,,false,2024-03-20T00:00:00,// 143条2項
2024-01-31,P2M,,false,2024-03-31T00:00:00,// 143条2項
2023-01-31,P1M,,false,2023-03-01T00:00:00,// 143条2項ただし書 (平年)
2024-01-31,P1M,,false,2024-03-01T00:00:00,// 143条2項ただし書 (閏年)
2024-03-31,P1M,,false,2024-05-01T00:00:00,// 143条2項ただし書
2024-03-31,P1M,,false,2024-05-01T00:00:00,// 143条2項ただし書
2024-05-30T01:00:00,P1D,,false,2024-05-31T00:00:00
2024-05-30T01:00:00,P1M,,false,2024-06-30T00:00:00
2024-05-30T01:00:00,P1MT1H,,false,2024-06-30T02:00:00
2023-01-29,P1M,,false,2023-03-01T00:00:00
2020-02-28,P1Y,,false,2021-02-28T00:00:00
2020-02-28T01:00:00,P1Y,,false,2021-02-28T00:00:00
2020-08-15,P1Y3M,,false,2021-11-15T00:00:00
2020-08-31,P1Y1M,,false,2021-10-01T00:00:00
2024-06-01T18:00:00,PT30H,,false,2024-06-03T00:00:00
2024-06-01,P2Y,,false,2026-06-01T00:00:00
// preserveTimeOnZero=trueかつ、PT0Sの場合は、excludeStartDateの設定に関わらず、時刻維持されること
2024-03-29T03:00:00,PT0S,,false,2024-03-29T00:00:00
2024-03-29T03:00:00,PT0S,true,false,2024-03-29T03:00:00
2024-03-29T03:00:00,PT0S,false,false,2024-03-29T00:00:00

// excludeStartDate: true
// 当日 (6/2 24:00になる)
2020-06-01,P1D,,true,2020-06-03T00:00:00
2020-06-01T01:00:00,P1D,,true,2020-06-03T00:00:00
// 2日間
2020-06-01,P2D,,true,2020-06-04T00:00:00
// 月末/2日間
2020-06-30,P2D,,true,2020-07-03T00:00:00
// 1ヶ月
2020-06-01,P1M,,true,2020-07-02T00:00:00
2020-08-31,P1M,,true,2020-10-01T00:00:00,// 9/31がないため、9/30 24:00
2020-10-10,P1M,,true,2020-11-11T00:00:00
2020-12-01,P1M,,true,2021-01-02T00:00:00
2021-01-31,P1M,,true,2021-03-01T00:00:00
